ID,COMPONENT_ARBITRARY,ANONYMOUS_1,YEAR,SAMPLE_TRANSFER_DAY,ANONYMOUS_2,AG,AL,B,BA,BE,CA,CD,CO,CR,CU,FH2O,FNOX,FOPTIMETHGLY,FOXID,FSO4,FTBN,FE,FUEL,H2O,K,LI,MG,MN,MO,NA,NI,P,PB,PQINDEX,S,SB,SI,SN,SOOTPERCENTAGE,TI,U100,U75,U50,U25,U20,U14,U6,U4,V,V100,V40,ZN,Y_LABEL
TRAIN_00000,COMPONENT3,1486,2011,7,200,0,3,93,0,0,3059,0.0,0,13,78,,,,,,,888,,0.0,27.0,1,14,16,1,16,6,1951,0,8504,21370,0,427,2,,5,,,,,,,,,0,,154.0,75,0
TRAIN_00001,COMPONENT2,1350,2021,51,375,0,2,19,0,0,2978,0.0,0,0,31,,,,,,,2,,0.0,,0,1,0,0,1,0,572,2,19,1117,0,0,0,,0,0.0,0.0,1.0,2.0,4.0,6.0,216.0,1454.0,0,,44.0,652,0
TRAIN_00002,COMPONENT2,2415,2015,2,200,0,110,1,1,0,17,0.0,0,1,2,,,,,,,4,,0.0,0.0,0,0,0,0,2,0,328,0,17,1334,0,0,1,,0,0.0,0.0,0.0,0.0,3.0,39.0,11261.0,41081.0,0,,72.6,412,1
TRAIN_00003,COMPONENT3,7389,2010,2,200,0,8,3,0,0,1960,0.0,0,0,1,,,,,,,37,,0.0,,0,4,1,0,0,0,906,1,44,21774,2,1,1,,0,,,,,,,,,0,,133.3,7,0
TRAIN_00004,COMPONENT3,3954,2015,4,200,0,1,157,0,0,71,0.0,0,0,0,,,,,,,71,,0.0,0.0,0,0,0,0,2,0,309,0,217,18470,0,2,0,,0,,,,,,,,,0,,133.1,128,0
TRAIN_00005,COMPONENT3,2061,2008,4,550,0,3,8,0,0,2770,0.0,0,3,179,,,,,,,550,,0.0,,0,12,42,11,4,4,1129,2,329,8685,2,32,5,,0,,,,,,,,,0,,69.7,1015,0
TRAIN_00006,COMPONENT3,1416,2015,7,616,0,0,21,0,0,130,0.0,0,0,3,,,,,,,35,,0.0,0.0,0,0,0,0,2,0,330,0,26,16280,0,1,0,,0,,,,,,,,,0,,148.5,24,0
TRAIN_00007,COMPONENT3,1170,2009,4,370,0,5,3,3,0,2589,0.0,0,3,6,,,,,,,81,,0.0,2.0,1,0,2,1,5,0,866,2,7735,17090,1,6,0,,0,,,,,,,,,0,,142.9,16,0
TRAIN_00008,COMPONENT3,4880,2014,7,200,0,0,1,0,0,11,0.0,0,4,125,,,,,,,166,,0.0,0.0,0,3,5,0,2,4,451,0,83,15960,0,2,0,,0,,,,,,,,,0,,140.7,89,0
TRAIN_00009,COMPONENT1,6748,2015,6,200,0,1,1,0,0,62,0.0,0,0,2,9.0,5.0,0.0,9.0,18.0,8.9,12,0.0,0.0,,0,13,0,3,6,0,1047,5,5,4191,0,3,2,0.2,0,,,,,,,,,0,13.4,98.9,1020,0